Distance,Intensity
54.689,65528.3125
54.776,65530.5547
54.862,65524.4141
54.949,65535.0000
55.036,65528.0000
55.122,65502.6328
55.209,65522.9453
55.296,65514.6641
55.382,65523.1797
55.469,65530.8125
55.556,65512.6992
55.642,65522.2773
55.729,65517.0430
55.816,65521.8672
55.902,65514.5039
55.989,65527.1562
56.076,65521.2656
56.162,65517.0352
56.249,65531.1211
56.336,65526.5820
56.422,65522.6172
56.509,65518.0898
56.596,65521.5938
56.682,65529.3047
56.769,65514.0430
56.856,65521.4922
56.942,65517.0859
57.029,65528.4531
57.116,65527.4414
57.202,65524.7773
57.289,65527.4844
57.376,65528.9570
57.462,65515.7539
57.549,65515.1445
57.636,65506.7148
57.722,65516.7344
57.809,65518.9805
57.896,65514.3320
57.982,65514.0078
58.069,65529.0117
58.156,65502.9844
58.242,65502.3164
58.329,65496.6602
58.416,65488.6289
58.502,65494.6719
58.589,65495.3672
58.676,65492.9531
58.762,65497.6484
58.849,65493.0586
58.936,65500.1289
59.022,65503.6797
59.109,65501.9609
59.196,65498.6797
59.282,65499.3633
59.369,65500.5430
59.456,65507.9805
59.542,65501.7891
59.629,65499.7422
59.716,65500.3320
59.802,65505.4414
59.889,65509.6367
59.976,65517.9609
60.062,65521.1680
60.149,65515.7930
60.236,65530.0781
60.322,65529.1719
60.409,65518.7188
60.496,65522.7812
60.582,65528.5195
60.669,65525.9102
60.756,65521.2070
60.842,65531.5039
60.929,65522.3945
61.016,65530.6094
61.102,65527.9766
61.189,65513.2031
61.276,65535.0000
61.362,65525.2812
61.449,65532.8828
61.536,65515.0273
61.622,65516.5820
61.709,65535.0000
61.796,65529.4922
61.882,65529.2227
61.969,65528.7266
62.056,65512.1797
62.142,65515.0039
62.229,65515.0117
62.316,65518.7305
62.402,65517.7383
62.489,65525.6641
62.576,65529.9648
62.663,65531.8398
62.749,65535.0000
62.836,65528.5000
62.923,65528.6328
63.009,65531.1367
63.096,65533.0742
63.183,65535.0000
63.269,65518.6328
63.356,65535.0000
63.443,65534.7305
63.529,65522.1094
63.616,65524.1914
63.703,65528.5703
63.789,65534.2656
63.876,65527.1367
63.963,65531.2891
64.049,65531.5703
64.136,65510.9961
64.223,65532.1172
64.309,65515.2188
64.396,65519.3398
64.483,65528.9297
64.569,65521.8359
64.656,65523.8555
64.743,65531.9297
64.829,65534.2344
64.916,65522.9531
65.003,65529.5078
65.089,65514.7305
65.176,65529.2500
65.263,65526.0000
65.349,65523.7344
65.436,65514.4883
65.523,65513.1641
65.609,65509.5078
65.696,65523.7344
65.783,65514.7305
65.869,65519.8867
65.956,65513.6953
66.043,65528.6250
66.129,65522.5586
66.216,65509.1289
66.303,65529.0469
66.389,65530.5781
66.476,65522.5820
66.563,65532.6484
66.649,65526.5938
66.736,65529.1367
66.823,65533.1445
66.909,65526.5430
66.996,65524.4688
67.083,65524.2070
67.169,65525.7539
67.256,65531.1406
67.343,65530.7031
67.429,65511.4492
67.516,65529.1719
67.603,65515.0977
67.689,65532.1133
67.776,65525.9336
67.863,65530.5977
67.949,65512.4375
68.036,65508.9844
68.123,65505.1758
68.209,65501.8633
68.296,65503.0000
68.383,65507.2148
68.469,65503.3594
68.556,65497.9375
68.643,65504.5234
68.729,65497.9492
68.816,65499.0469
