Distance,Intensity
97.677,65527.9805
97.764,65519.7422
97.851,65529.5117
97.937,65531.3633
98.024,65529.0898
98.111,65534.3633
98.197,65516.6719
98.284,65516.9648
98.371,65515.6953
98.457,65528.5820
98.544,65515.5547
98.631,65496.3320
98.717,65512.5195
98.804,65488.9297
98.891,65492.7305
98.977,65500.5117
99.064,65504.3555
99.151,65507.0234
99.237,65499.0156
99.324,65497.8281
99.411,65490.4258
99.497,65488.1523
99.584,65502.8320
99.671,65499.8203
99.757,65515.5625
99.844,65509.7891
99.931,65504.7031
100.017,65512.6094
100.104,65506.6562
100.191,65528.1836
100.277,65511.4570
100.364,65514.0664
100.451,65524.6836
100.537,65517.3984
100.624,65515.4062
100.711,65516.5820
100.797,65518.5234
100.884,65520.6797
100.971,65513.3594
101.057,65513.6758
101.144,65522.1875
101.231,65520.6914
101.317,65526.1914
101.404,65531.5039
101.491,65533.0039
101.577,65535.0000
101.664,65521.1484
101.751,65525.6445
101.837,65527.5938
101.924,65532.0859
102.011,65511.8281
102.097,65510.3477
102.184,65525.5586
102.271,65527.7227
102.357,65529.0039
102.444,65534.4688
102.531,65517.1484
102.617,65516.1523
102.704,65527.6211
102.791,65510.2617
102.877,65533.1758
102.964,65526.8320
103.051,65530.0000
103.137,65520.3320
103.224,65508.7656
103.311,65531.8164
103.397,65514.0117
103.484,65524.5664
103.571,65521.3789
103.657,65522.7656
103.744,65512.9219
103.831,65532.6797
103.917,65517.8047
104.004,65532.2656
104.091,65499.7266
104.177,65517.4219
104.264,65510.5938
104.351,65521.2031
104.438,65528.5938
104.524,65511.7969
104.611,65527.5938
104.698,65532.5781
104.784,65517.1641
104.871,65531.7188
104.958,65520.0625
105.044,65520.9297
105.131,65511.0352
105.218,65505.6914
105.304,65528.7891
105.391,65510.4883
105.478,65531.8477
105.564,65508.9844
105.651,65530.2852
105.738,65513.6445
105.824,65527.1094
105.911,65526.6562
105.998,65532.6562
106.084,65529.3711
106.171,65526.3594
106.258,65528.9062
106.344,65525.7773
106.431,65525.7617
106.518,65510.3125
106.604,65524.7031
106.691,65520.9062
106.778,65522.4570
106.864,65530.8945
106.951,65529.5039
107.038,65528.3203
107.124,65523.7734
107.211,65529.2305
107.298,65534.5352
107.384,65533.5312
107.471,65505.4688
107.558,65526.7656
107.644,65527.3711
107.731,65526.7148
107.818,65522.1953
107.904,65514.4805
107.991,65522.0977
108.078,65524.6641
108.164,65526.1406
108.251,65527.5352
108.338,65520.7734
108.424,65520.9688
108.511,65517.4805
108.598,65502.0000
108.684,65499.9844
108.771,65502.5000
108.858,65505.2500
108.944,65501.5039
109.031,65500.9883
109.118,65497.5391
109.204,65488.5703
109.291,65498.8164
109.378,65491.2031
109.464,65490.0000
109.551,65494.5195
109.638,65488.7383
109.724,65504.9141
109.811,65500.1172
109.898,65512.7422
109.984,65508.2070
110.071,65513.4961
110.158,65502.8086
110.244,65520.6602
110.331,65519.6211
110.418,65510.9922
110.504,65512.2695
110.591,65517.9609
110.678,65516.7969
110.764,65520.8203
110.851,65517.3555
110.938,65508.3984
111.024,65510.5508
111.111,65535.0000
111.198,65514.3320
111.284,65526.4414
111.371,65531.4805
111.458,65520.5625
111.544,65524.9727
111.631,65533.3047
111.718,65511.6914
111.804,65529.0195
111.891,65523.4297
111.978,65518.1562
112.064,65504.6953
112.151,65506.1328
112.238,65520.5781
112.324,65527.7305
112.411,65505.7109
112.498,65529.7578
112.585,65517.5859
112.671,65520.8945
112.758,65514.4375
112.845,65510.5156
112.931,65513.8477
113.018,65521.8945
113.105,65519.1992
113.191,65517.2930
113.278,65530.3945
113.365,65522.5430
113.451,65523.7461
113.538,65521.7891
113.625,65531.3320
113.711,65529.4531
113.798,65529.7695
113.885,65524.2812
113.971,65524.6445
114.058,65523.6875
114.145,65517.7930
114.231,65519.2461
114.318,65530.6094
114.405,65535.0000
114.491,65518.8398
114.578,65528.6328
114.665,65522.7305
114.751,65532.2734
114.838,65525.8438
114.925,65531.6055
115.011,65524.7148
115.098,65528.7734
115.185,65516.4375
115.271,65531.4297
115.358,65516.0703
115.445,65525.5742
115.531,65529.9648
115.618,65533.0156
115.705,65525.6914
115.791,65521.6289
115.878,65516.0039
115.965,65523.3438
116.051,65515.3359
116.138,65528.3086
116.225,65523.6641
116.311,65517.7227
116.398,65525.0273
116.485,65528.6602
116.571,65509.6211
116.658,65529.5508
116.745,65521.1758
116.831,65523.5195
116.918,65526.4688
117.005,65525.1680
117.091,65524.1484
117.178,65526.9219
117.265,65519.9570
117.351,65521.2305
